AF: x=460.70, y=89.42
path_1: x=1084.86, y=580.67
path_2: x=1056.41, y=534.22
AL: x=362.89, y=77.02
AE: x=433.01, y=114.24
path_5: x=665.90, y=848.52
path_6: x=640.47, y=725.86
AM: x=453.98, y=93.71
path_8: x=1744.48, y=771.38
path_9: x=1724.67, y=665.36
AT: x=366.95, y=65.97
path_11: x=1224.74, y=250.10
path_12: x=1235.16, y=243.36
BI: x=384.94, y=177.85
BE: x=338.13, y=61.11
BJ: x=332.20, y=143.04
BF: x=330.19, y=136.22
BD: x=477.26, y=117.57
BG: x=362.50, y=72.87
BA: x=362.88, y=73.18
BY: x=399.70, y=57.67
BZ: x=168.08, y=138.92
BO: x=213.44, y=205.06
BR: x=221.33, y=162.41
BN: x=546.17, y=160.50
BT: x=496.68, y=108.81
BW: x=375.98, y=206.64
CF: x=367.02, y=146.40
path_28: x=667.33, y=204.62
path_29: x=674.84, y=185.09
path_30: x=364.87, y=184.58
path_31: x=708.50, y=190.21
path_32: x=351.51, y=161.20
path_33: x=632.00, y=109.62
path_34: x=619.91, y=106.50
path_35: x=621.19, y=96.69
path_36: x=667.60, y=77.73
path_37: x=585.73, y=68.28
path_38: x=522.69, y=138.83
path_39: x=540.88, y=60.80
path_40: x=573.41, y=47.76
path_41: x=678.17, y=48.07
path_42: x=677.90, y=74.32
path_43: x=595.00, y=51.60
path_44: x=619.34, y=48.07
path_45: x=509.08, y=49.81
path_46: x=623.68, y=38.78
path_47: x=609.94, y=35.11
path_48: x=563.70, y=36.54
path_49: x=652.56, y=37.02
path_50: x=543.27, y=30.46
path_51: x=638.15, y=26.09
path_52: x=578.36, y=25.41
path_53: x=585.01, y=21.76
path_54: x=634.59, y=22.75
path_55: x=616.44, y=21.62
path_56: x=662.23, y=16.94
path_57: x=708.53, y=15.06
CH: x=339.13, y=65.41
path_59: x=1598.13, y=378.44
path_60: x=1534.90, y=268.71
CI: x=316.82, y=144.96
CM: x=359.11, y=155.83
CD: x=383.19, y=158.01
CG: x=358.96, y=160.05
CO: x=198.50, y=146.20
CR: x=172.55, y=145.24
CU: x=182.94, y=119.47
CZ: x=361.48, y=60.98
DE: x=344.27, y=53.54
DJ: x=409.75, y=144.38
path_71: x=1042.22, y=148.19
path_72: x=1029.97, y=144.05
DO: x=192.30, y=127.36
DZ: x=438.67, y=114.38
EC: x=188.89, y=171.07
EG: x=395.22, y=104.20
ER: x=580.59, y=199.29
EE: x=387.70, y=43.73
ET: x=466.48, y=156.68
FI: x=281.96, y=20.72
GA: x=353.27, y=163.35
path_82: x=954.46, y=154.19
path_83: x=973.86, y=158.64
GE: x=404.29, y=76.81
GH: x=327.50, y=143.63
GN: x=308.13, y=141.52
GM: x=298.04, y=141.20
GW: x=305.80, y=140.84
GQ: x=357.25, y=171.12
path_90: x=1119.31, y=275.64
path_91: x=1104.58, y=249.41
GL: x=299.52, y=10.18
GT: x=164.25, y=130.94
GY: x=221.14, y=156.76
HN: x=171.75, y=135.06
HR: x=363.00, y=70.54
HT: x=196.56, y=128.34
HU: x=367.18, y=64.88
path_99: x=1663.73, y=564.75
path_100: x=1688.08, y=563.77
path_101: x=1652.52, y=557.28
path_102: x=1671.75, y=556.99
path_103: x=1609.41, y=548.92
path_104: x=1747.03, y=541.19
path_105: x=1703.86, y=523.78
path_106: x=1719.10, y=522.28
path_107: x=1764.58, y=528.36
path_108: x=1673.20, y=515.34
path_109: x=1712.18, y=496.81
path_110: x=1632.73, y=503.45
path_111: x=1561.85, y=504.43
IN: x=486.67, y=108.77
IE: x=320.10, y=55.37
IR: x=411.03, y=86.37
IQ: x=414.80, y=92.12
IS: x=309.57, y=29.46
IL: x=396.73, y=97.94
path_118: x=1061.07, y=260.57
path_119: x=1033.55, y=244.68
path_120: x=1049.28, y=223.29
JM: x=184.11, y=129.25
JO: x=397.89, y=100.83
path_123: x=1703.80, y=286.02
path_124: x=1714.37, y=270.75
path_125: x=1717.42, y=224.05
KZ: x=466.19, y=59.80
KE: x=415.55, y=165.79
KG: x=481.59, y=80.60
KH: x=531.94, y=138.97
KR: x=545.69, y=87.66
KW: x=424.06, y=106.95
LA: x=519.89, y=137.52
LB: x=394.86, y=97.29
LR: x=314.47, y=152.05
LY: x=373.50, y=101.33
LK: x=486.56, y=157.99
LS: x=380.91, y=233.92
LT: x=367.83, y=51.36
LU: x=338.63, y=62.26
LV: x=370.23, y=46.93
MA: x=328.79, y=94.05
MD: x=373.60, y=70.29
MG: x=428.05, y=201.31
MX: x=148.12, y=111.64
MK: x=409.24, y=87.74
ML: x=335.21, y=132.06
MM: x=510.26, y=122.59
ME: x=364.00, y=76.64
MN: x=501.91, y=63.14
MZ: x=388.67, y=224.98
MR: x=322.19, y=118.90
MW: x=380.52, y=189.18
path_153: x=1565.13, y=476.20
path_154: x=1635.96, y=479.06
NA: x=358.81, y=195.73
NE: x=370.32, y=126.95
NG: x=362.15, y=143.15
NI: x=195.37, y=153.23
path_159: x=1044.70, y=97.47
path_160: x=1068.22, y=24.86
path_161: x=1042.81, y=21.53
path_162: x=1065.90, y=15.40
NP: x=489.67, y=110.58
path_164: x=1298.38, y=369.74
path_165: x=1296.13, y=334.45
PK: x=473.24, y=94.73
PA: x=184.64, y=150.51
PE: x=202.45, y=184.37
path_169: x=1691.85, y=452.70
path_170: x=1681.78, y=437.05
path_171: x=1656.25, y=438.39
path_172: x=1676.72, y=430.11
path_173: x=1690.93, y=427.73
path_174: x=1667.40, y=418.45
path_175: x=1667.81, y=400.72
path_176: x=1864.76, y=541.19
path_177: x=1838.90, y=536.88
path_178: x=1802.75, y=544.47
path_179: x=1848.25, y=524.45
PL: x=359.62, y=52.98
KP: x=559.35, y=78.77
PY: x=220.69, y=209.91
PS: x=393.75, y=100.12
QA: x=424.06, y=116.24
RO: x=372.61, y=65.10
RW: x=378.63, y=168.23
EH: x=388.51, y=133.77
SA: x=453.07, y=113.80
SD: x=383.92, y=134.46
SS: x=392.21, y=148.46
SN: x=306.78, y=138.14
SL: x=308.39, y=150.67
SV: x=167.79, y=143.11
