AF: x=460.70, y=89.42
AO: x=1084.68, y=580.37
AL: x=362.89, y=77.02
AE: x=433.01, y=114.24
AR: x=640.73, y=727.08
AM: x=453.98, y=93.71
AU: x=1724.86, y=666.37
AT: x=366.95, y=65.97
AZ: x=1234.56, y=243.75
BI: x=384.94, y=177.85
BE: x=338.13, y=61.11
BJ: x=332.20, y=143.04
BF: x=330.19, y=136.22
BD: x=477.26, y=117.57
BG: x=362.50, y=72.87
BA: x=362.88, y=73.18
BY: x=399.70, y=57.67
BZ: x=168.08, y=138.92
BO: x=213.44, y=205.06
BR: x=221.33, y=162.41
BN: x=546.17, y=160.50
BT: x=496.68, y=108.81
BW: x=375.98, y=206.64
CF: x=367.02, y=146.40
CA: x=545.51, y=123.63
CH: x=339.13, y=65.41
CN: x=1535.11, y=269.08
CI: x=316.82, y=144.96
CM: x=359.11, y=155.83
CD: x=383.19, y=158.01
CG: x=358.96, y=160.05
CO: x=198.50, y=146.20
CR: x=172.55, y=145.24
CU: x=182.94, y=119.47
CZ: x=361.48, y=60.98
DE: x=344.27, y=53.54
DJ: x=409.75, y=144.38
DK: x=1032.72, y=144.98
DO: x=192.30, y=127.36
DZ: x=438.67, y=114.38
EC: x=188.89, y=171.07
EG: x=395.22, y=104.20
ER: x=580.59, y=199.29
EE: x=387.70, y=43.73
ET: x=466.48, y=156.68
FI: x=281.96, y=20.72
GA: x=353.27, y=163.35
GB: x=972.94, y=158.43
GE: x=404.29, y=76.81
GH: x=327.50, y=143.63
GN: x=308.13, y=141.52
GM: x=298.04, y=141.20
GW: x=305.80, y=140.84
GQ: x=357.25, y=171.12
GR: x=1105.58, y=251.19
GL: x=299.52, y=10.18
GT: x=164.25, y=130.94
GY: x=221.14, y=156.76
HN: x=171.75, y=135.06
HR: x=363.00, y=70.54
HT: x=196.56, y=128.34
HU: x=367.18, y=64.88
ID: x=1651.51, y=516.05
IN: x=486.67, y=108.77
IE: x=320.10, y=55.37
IR: x=411.03, y=86.37
IQ: x=414.80, y=92.12
IS: x=309.57, y=29.46
IL: x=396.73, y=97.94
IT: x=1049.08, y=227.97
JM: x=184.11, y=129.25
JO: x=397.89, y=100.83
JP: x=1714.56, y=260.64
KZ: x=466.19, y=59.80
KE: x=415.55, y=165.79
KG: x=481.59, y=80.60
KH: x=531.94, y=138.97
KR: x=545.69, y=87.66
KW: x=424.06, y=106.95
LA: x=519.89, y=137.52
LB: x=394.86, y=97.29
LR: x=314.47, y=152.05
LY: x=373.50, y=101.33
LK: x=486.56, y=157.99
LS: x=380.91, y=233.92
